id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
256,Caramel Dream,Premium,"fruit puree, cookie crumbs, natural flavor, salt, wafer pieces, condensed milk, sugar, vanilla extract",32,10,209,Milk,High sugar intake may increase risk of diabetes,A delicious caramel dream ice cream with rich taste and smooth creamy texture.
257,Guava Blast,Nut,"natural flavor, roasted nuts, milk, butter, condensed milk, fruit puree",33,17,182,Peanuts,Nut allergens may cause allergic reactions,A delicious guava blast ice cream with rich taste and smooth creamy texture.
258,Fudge Fusion,Fruit,"cream, cocoa powder, caramel syrup, honey, salt, fruit puree, brown sugar",27,11,323,Nuts,High fat content may contribute to obesity,A delicious fudge fusion ice cream with rich taste and smooth creamy texture.
259,Mango Fusion,Candy,"cocoa powder, wafer pieces, salt, corn syrup, brown sugar, honey, sugar, milk",33,19,235,Nuts,High calorie dessert – consume moderately,A delicious mango fusion ice cream with rich taste and smooth creamy texture.
260,Kitkat Fusion,Chocolate,"cream, roasted nuts, wafer pieces, natural flavor, butter",18,10,251,None,Artificial colors may cause mild sensitivity,A delicious kitkat fusion ice cream with rich taste and smooth creamy texture.
261,Guava Blast,Nut,"natural flavor, vanilla extract, cookie crumbs, milk, salt, cream, caramel syrup, cocoa powder",21,19,257,Soy,Nut allergens may cause allergic reactions,A delicious guava blast ice cream with rich taste and smooth creamy texture.
262,Vanilla Cream,Chocolate,"chocolate chips, cocoa powder, sugar, condensed milk, brown sugar, vanilla extract, fruit puree, food coloring",19,14,194,None,High sugar intake may increase risk of diabetes,A delicious vanilla cream ice cream with rich taste and smooth creamy texture.
263,Rose Fusion,Classic,"food coloring, honey, sugar, butter, caramel syrup, cocoa powder, corn syrup, natural flavor",23,6,205,None,Contains dairy which may affect lactose intolerant individuals,A delicious rose fusion ice cream with rich taste and smooth creamy texture.
264,Kitkat Swirl,Healthy,"cream, milk, roasted nuts, wafer pieces, chocolate chips, cocoa powder, natural flavor",27,16,261,Nuts,High sugar intake may increase risk of diabetes,A delicious kitkat swirl ice cream with rich taste and smooth creamy texture.
265,Papaya Dream,Classic,"wafer pieces, roasted nuts, butter, chocolate chips, natural flavor, cookie crumbs, brown sugar",31,5,267,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious papaya dream ice cream with rich taste and smooth creamy texture.
266,Pistachio Cream,Classic,"corn syrup, cocoa powder, fruit puree, salt, roasted nuts, cream, caramel syrup",26,9,225,Milk,High sugar intake may increase risk of diabetes,A delicious pistachio cream ice cream with rich taste and smooth creamy texture.
267,Coffee Delight,Fruit,"corn syrup, chocolate chips, brown sugar, butter, condensed milk, honey, caramel syrup, cookie crumbs",34,5,326,None,Contains dairy which may affect lactose intolerant individuals,A delicious coffee delight ice cream with rich taste and smooth creamy texture.
268,Green Apple Dream,Fruit,"brown sugar, corn syrup, natural flavor, cookie crumbs, sugar, honey, milk, wafer pieces",35,16,340,Gluten,Artificial colors may cause mild sensitivity,A delicious green apple dream ice cream with rich taste and smooth creamy texture.
269,Red Velvet Swirl,Chocolate,"roasted nuts, corn syrup, sugar, food coloring, cocoa powder, condensed milk",29,19,189,Gluten,High calorie dessert – consume moderately,A delicious red velvet swirl ice cream with rich taste and smooth creamy texture.
270,Chocolate Fusion,Healthy,"natural flavor, caramel syrup, chocolate chips, sugar, corn syrup, vanilla extract, roasted nuts, butter",26,13,289,None,High sugar intake may increase risk of diabetes,A delicious chocolate fusion ice cream with rich taste and smooth creamy texture.
271,Green Apple Delight,Nut,"wafer pieces, cookie crumbs, milk, butter, cream, chocolate chips",35,16,262,Nuts,High sugar intake may increase risk of diabetes,A delicious green apple delight ice cream with rich taste and smooth creamy texture.
272,Pistachio Delight,Exotic,"caramel syrup, cream, corn syrup, roasted nuts, sugar",23,9,292,Peanuts,High fat content may contribute to obesity,A delicious pistachio delight ice cream with rich taste and smooth creamy texture.
273,Pistachio Cream,Premium,"cookie crumbs, vanilla extract, sugar, food coloring, natural flavor, wafer pieces, cocoa powder",26,11,256,Nuts,Artificial colors may cause mild sensitivity,A delicious pistachio cream ice cream with rich taste and smooth creamy texture.
274,Lemon Swirl,Nut,"vanilla extract, salt, cookie crumbs, cream, chocolate chips, fruit puree, roasted nuts",33,19,234,Gluten,High calorie dessert – consume moderately,A delicious lemon swirl ice cream with rich taste and smooth creamy texture.
275,White Chocolate Delight,Chocolate,"cocoa powder, corn syrup, sugar, roasted nuts, natural flavor, vanilla extract",30,14,332,Milk,Nut allergens may cause allergic reactions,A delicious white chocolate delight ice cream with rich taste and smooth creamy texture.
276,Lychee Dream,Fruit,"corn syrup, salt, butter, honey, fruit puree",24,14,338,Soy,High sugar intake may increase risk of diabetes,A delicious lychee dream ice cream with rich taste and smooth creamy texture.
277,Cherry Dream,Chocolate,"wafer pieces, cream, natural flavor, condensed milk, corn syrup, food coloring",26,7,302,Soy,Artificial colors may cause mild sensitivity,A delicious cherry dream ice cream with rich taste and smooth creamy texture.
278,Vanilla Swirl,Premium,"wafer pieces, salt, butter, honey, caramel syrup, sugar",34,9,226,Soy,Artificial colors may cause mild sensitivity,A delicious vanilla swirl ice cream with rich taste and smooth creamy texture.
279,Rose Swirl,Classic,"condensed milk, honey, fruit puree, natural flavor, milk, chocolate chips, roasted nuts, butter",19,11,338,None,High calorie dessert – consume moderately,A delicious rose swirl ice cream with rich taste and smooth creamy texture.
280,Caramel Cream,Exotic,"sugar, honey, salt, vanilla extract, roasted nuts, butter",32,15,263,Gluten,High fat content may contribute to obesity,A delicious caramel cream ice cream with rich taste and smooth creamy texture.
281,Coconut Cream,Premium,"natural flavor, food coloring, condensed milk, butter, vanilla extract, caramel syrup",34,20,285,Gluten,High sugar intake may increase risk of diabetes,A delicious coconut cream ice cream with rich taste and smooth creamy texture.
282,Cotton Candy Delight,Exotic,"sugar, salt, vanilla extract, corn syrup, chocolate chips, brown sugar",29,20,236,Soy,High fat content may contribute to obesity,A delicious cotton candy delight ice cream with rich taste and smooth creamy texture.
283,Lavender Blast,Exotic,"sugar, corn syrup, milk, natural flavor, salt, cocoa powder, cream",30,12,180,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious lavender blast ice cream with rich taste and smooth creamy texture.
284,Peach Cream,Premium,"roasted nuts, honey, butter, condensed milk, cocoa powder, corn syrup",34,9,201,Nuts,High sugar intake may increase risk of diabetes,A delicious peach cream ice cream with rich taste and smooth creamy texture.
285,Raspberry Blast,Healthy,"brown sugar, fruit puree, honey, milk, caramel syrup",22,6,221,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious raspberry blast ice cream with rich taste and smooth creamy texture.
286,Pineapple Fusion,Chocolate,"milk, condensed milk, fruit puree, roasted nuts, corn syrup, cream, caramel syrup, natural flavor",26,6,254,Nuts,High sugar intake may increase risk of diabetes,A delicious pineapple fusion ice cream with rich taste and smooth creamy texture.
287,Salted Caramel Delight,Chocolate,"cookie crumbs, brown sugar, condensed milk, food coloring, sugar, cream, vanilla extract",20,7,327,Milk,Nut allergens may cause allergic reactions,A delicious salted caramel delight ice cream with rich taste and smooth creamy texture.
288,Brownie Dream,Chocolate,"food coloring, salt, milk, cookie crumbs, brown sugar, cocoa powder, cream",25,8,219,Gluten,Artificial colors may cause mild sensitivity,A delicious brownie dream ice cream with rich taste and smooth creamy texture.
289,Fudge Swirl,Candy,"food coloring, corn syrup, roasted nuts, honey, cocoa powder",22,7,279,Milk,High fat content may contribute to obesity,A delicious fudge swirl ice cream with rich taste and smooth creamy texture.
290,Fudge Cream,Nut,"vanilla extract, sugar, natural flavor, brown sugar, roasted nuts, cookie crumbs, corn syrup, salt",31,6,300,Peanuts,High sugar intake may increase risk of diabetes,A delicious fudge cream ice cream with rich taste and smooth creamy texture.
291,Rose Blast,Classic,"chocolate chips, vanilla extract, natural flavor, butter, honey",24,17,347,Gluten,Artificial colors may cause mild sensitivity,A delicious rose blast ice cream with rich taste and smooth creamy texture.
292,Tiramisu Dream,Chocolate,"food coloring, cream, cookie crumbs, natural flavor, honey, roasted nuts, sugar, wafer pieces",34,8,336,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious tiramisu dream ice cream with rich taste and smooth creamy texture.
293,Lemon Dream,Premium,"food coloring, caramel syrup, cookie crumbs, cream, salt, fruit puree",31,11,324,None,Contains dairy which may affect lactose intolerant individuals,A delicious lemon dream ice cream with rich taste and smooth creamy texture.
294,Lavender Cream,Exotic,"food coloring, vanilla extract, brown sugar, cookie crumbs, caramel syrup, chocolate chips",31,13,294,Peanuts,Artificial colors may cause mild sensitivity,A delicious lavender cream ice cream with rich taste and smooth creamy texture.
295,Walnut Swirl,Classic,"butter, food coloring, condensed milk, sugar, corn syrup, brown sugar",33,18,199,Peanuts,Nut allergens may cause allergic reactions,A delicious walnut swirl ice cream with rich taste and smooth creamy texture.
296,Lychee Swirl,Chocolate,"roasted nuts, sugar, milk, brown sugar, fruit puree, cream",30,8,256,Milk,High sugar intake may increase risk of diabetes,A delicious lychee swirl ice cream with rich taste and smooth creamy texture.
297,White Chocolate Fusion,Candy,"roasted nuts, fruit puree, sugar, cookie crumbs, chocolate chips, salt",26,10,198,Milk,Nut allergens may cause allergic reactions,A delicious white chocolate fusion ice cream with rich taste and smooth creamy texture.
298,Matcha Delight,Healthy,"condensed milk, roasted nuts, natural flavor, butter, corn syrup, salt",25,17,259,Nuts,Nut allergens may cause allergic reactions,A delicious matcha delight ice cream with rich taste and smooth creamy texture.
299,Red Velvet Swirl,Exotic,"cocoa powder, condensed milk, food coloring, butter, natural flavor, cookie crumbs, vanilla extract",17,8,311,Peanuts,High fat content may contribute to obesity,A delicious red velvet swirl ice cream with rich taste and smooth creamy texture.
300,Pineapple Cream,Exotic,"honey, milk, vanilla extract, food coloring, roasted nuts, cream",20,15,341,None,High sugar intake may increase risk of diabetes,A delicious pineapple cream ice cream with rich taste and smooth creamy texture.
301,Cardamom Fusion,Chocolate,"condensed milk, vanilla extract, wafer pieces, cream, roasted nuts, caramel syrup, natural flavor, cocoa powder",28,8,202,Peanuts,Artificial colors may cause mild sensitivity,A delicious cardamom fusion ice cream with rich taste and smooth creamy texture.
302,Bubblegum Swirl,Healthy,"honey, cream, brown sugar, wafer pieces, cookie crumbs, natural flavor, caramel syrup",29,13,335,Soy,Nut allergens may cause allergic reactions,A delicious bubblegum swirl ice cream with rich taste and smooth creamy texture.
303,Red Velvet Swirl,Premium,"cream, food coloring, chocolate chips, honey, sugar, brown sugar, corn syrup, vanilla extract",31,18,345,Gluten,High calorie dessert – consume moderately,A delicious red velvet swirl ice cream with rich taste and smooth creamy texture.
304,Strawberry Swirl,Chocolate,"wafer pieces, chocolate chips, salt, sugar, butter, brown sugar, condensed milk",31,18,303,Nuts,Artificial colors may cause mild sensitivity,A delicious strawberry swirl ice cream with rich taste and smooth creamy texture.
305,Passion Fruit Blast,Healthy,"natural flavor, honey, cookie crumbs, roasted nuts, salt, corn syrup",21,17,180,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious passion fruit blast ice cream with rich taste and smooth creamy texture.
306,Marshmallow Swirl,Fruit,"honey, condensed milk, brown sugar, caramel syrup, fruit puree, wafer pieces, vanilla extract, milk",33,10,304,None,High calorie dessert – consume moderately,A delicious marshmallow swirl ice cream with rich taste and smooth creamy texture.
307,Chocolate Delight,Fruit,"food coloring, cream, milk, fruit puree, condensed milk, wafer pieces, cookie crumbs, butter",35,19,274,Peanuts,Nut allergens may cause allergic reactions,A delicious chocolate delight ice cream with rich taste and smooth creamy texture.
308,Hazelnut Swirl,Chocolate,"cocoa powder, corn syrup, sugar, roasted nuts, condensed milk",28,15,310,Peanuts,Nut allergens may cause allergic reactions,A delicious hazelnut swirl ice cream with rich taste and smooth creamy texture.
309,Coffee Blast,Premium,"salt, brown sugar, food coloring, cookie crumbs, natural flavor, milk, butter",20,5,209,None,Contains dairy which may affect lactose intolerant individuals,A delicious coffee blast ice cream with rich taste and smooth creamy texture.
310,Papaya Cream,Nut,"corn syrup, condensed milk, chocolate chips, brown sugar, food coloring, cocoa powder",17,6,335,Soy,High sugar intake may increase risk of diabetes,A delicious papaya cream ice cream with rich taste and smooth creamy texture.
311,Hazelnut Swirl,Candy,"chocolate chips, fruit puree, cookie crumbs, milk, cream, vanilla extract",32,14,273,Gluten,Artificial colors may cause mild sensitivity,A delicious hazelnut swirl ice cream with rich taste and smooth creamy texture.
312,Caramel Swirl,Classic,"wafer pieces, chocolate chips, cocoa powder, honey, corn syrup, cookie crumbs, butter, milk",31,9,332,Gluten,High fat content may contribute to obesity,A delicious caramel swirl ice cream with rich taste and smooth creamy texture.
313,Caramel Fusion,Candy,"brown sugar, cream, cocoa powder, wafer pieces, fruit puree, natural flavor, condensed milk",16,7,216,None,High fat content may contribute to obesity,A delicious caramel fusion ice cream with rich taste and smooth creamy texture.
314,Coconut Swirl,Chocolate,"condensed milk, roasted nuts, caramel syrup, cookie crumbs, food coloring, salt",20,20,314,Peanuts,High calorie dessert – consume moderately,A delicious coconut swirl ice cream with rich taste and smooth creamy texture.
315,Bubblegum Fusion,Premium,"chocolate chips, cream, brown sugar, fruit puree, sugar, vanilla extract",29,13,252,None,High sugar intake may increase risk of diabetes,A delicious bubblegum fusion ice cream with rich taste and smooth creamy texture.
316,Honey Cream,Nut,"vanilla extract, natural flavor, brown sugar, cocoa powder, cookie crumbs, honey, milk",32,10,185,None,Artificial colors may cause mild sensitivity,A delicious honey cream ice cream with rich taste and smooth creamy texture.
317,Brownie Cream,Nut,"natural flavor, milk, fruit puree, honey, salt, condensed milk, cocoa powder",34,19,296,Milk,Nut allergens may cause allergic reactions,A delicious brownie cream ice cream with rich taste and smooth creamy texture.
318,Coconut Dream,Fruit,"milk, cocoa powder, caramel syrup, roasted nuts, fruit puree, butter, chocolate chips, salt",33,8,340,Peanuts,High fat content may contribute to obesity,A delicious coconut dream ice cream with rich taste and smooth creamy texture.
319,Cardamom Cream,Nut,"milk, wafer pieces, fruit puree, chocolate chips, corn syrup, cookie crumbs",30,16,339,Gluten,Artificial colors may cause mild sensitivity,A delicious cardamom cream ice cream with rich taste and smooth creamy texture.
320,Raspberry Dream,Exotic,"brown sugar, cocoa powder, caramel syrup, cookie crumbs, cream, corn syrup, natural flavor, wafer pieces",17,19,240,Milk,High fat content may contribute to obesity,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
321,Passion Fruit Delight,Fruit,"cocoa powder, food coloring, natural flavor, butter, milk, salt, cream, vanilla extract",26,13,338,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious passion fruit delight ice cream with rich taste and smooth creamy texture.
322,Oreo Fusion,Nut,"caramel syrup, vanilla extract, corn syrup, cocoa powder, wafer pieces, cream",21,6,317,Soy,High sugar intake may increase risk of diabetes,A delicious oreo fusion ice cream with rich taste and smooth creamy texture.
323,Pineapple Cream,Exotic,"cocoa powder, food coloring, roasted nuts, wafer pieces, butter",24,15,341,Soy,High fat content may contribute to obesity,A delicious pineapple cream ice cream with rich taste and smooth creamy texture.
324,Mocha Dream,Nut,"brown sugar, food coloring, condensed milk, natural flavor, chocolate chips, wafer pieces",25,13,339,Nuts,Nut allergens may cause allergic reactions,A delicious mocha dream ice cream with rich taste and smooth creamy texture.
325,Chocolate Dream,Classic,"butter, condensed milk, natural flavor, wafer pieces, cream, roasted nuts, salt, cocoa powder",32,11,197,Milk,High calorie dessert – consume moderately,A delicious chocolate dream ice cream with rich taste and smooth creamy texture.
326,Oreo Cream,Classic,"sugar, butter, cream, milk, chocolate chips, caramel syrup, honey",18,16,321,None,High sugar intake may increase risk of diabetes,A delicious oreo cream ice cream with rich taste and smooth creamy texture.
327,Walnut Dream,Classic,"food coloring, cocoa powder, corn syrup, natural flavor, brown sugar, wafer pieces",27,11,249,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious walnut dream ice cream with rich taste and smooth creamy texture.
328,Cookies & Cream Delight,Healthy,"honey, cocoa powder, milk, butter, natural flavor",23,8,297,Peanuts,Nut allergens may cause allergic reactions,A delicious cookies & cream delight ice cream with rich taste and smooth creamy texture.
329,Bubblegum Dream,Nut,"sugar, caramel syrup, vanilla extract, cream, milk, natural flavor, brown sugar, corn syrup",28,14,312,Gluten,High fat content may contribute to obesity,A delicious bubblegum dream ice cream with rich taste and smooth creamy texture.
330,Kitkat Delight,Candy,"butter, corn syrup, food coloring, natural flavor, cocoa powder, vanilla extract",31,15,287,Peanuts,High fat content may contribute to obesity,A delicious kitkat delight ice cream with rich taste and smooth creamy texture.
331,Cotton Candy Delight,Healthy,"food coloring, roasted nuts, chocolate chips, condensed milk, salt, corn syrup",34,19,202,None,Nut allergens may cause allergic reactions,A delicious cotton candy delight ice cream with rich taste and smooth creamy texture.
332,Mint Cream,Classic,"caramel syrup, chocolate chips, food coloring, cream, brown sugar, roasted nuts",21,13,226,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious mint cream ice cream with rich taste and smooth creamy texture.
333,Lemon Blast,Classic,"chocolate chips, caramel syrup, cookie crumbs, milk, butter, sugar",20,17,340,Soy,Nut allergens may cause allergic reactions,A delicious lemon blast ice cream with rich taste and smooth creamy texture.
334,Fudge Fusion,Premium,"sugar, cookie crumbs, roasted nuts, honey, butter",24,13,227,Nuts,Artificial colors may cause mild sensitivity,A delicious fudge fusion ice cream with rich taste and smooth creamy texture.
335,Passion Fruit Delight,Healthy,"vanilla extract, cocoa powder, chocolate chips, salt, wafer pieces, cookie crumbs, roasted nuts",18,16,251,Gluten,Artificial colors may cause mild sensitivity,A delicious passion fruit delight ice cream with rich taste and smooth creamy texture.
336,Fudge Cream,Exotic,"sugar, corn syrup, honey, milk, condensed milk, cookie crumbs, natural flavor",16,16,347,Milk,Artificial colors may cause mild sensitivity,A delicious fudge cream ice cream with rich taste and smooth creamy texture.
337,Mocha Cream,Premium,"corn syrup, honey, cocoa powder, wafer pieces, chocolate chips, caramel syrup, brown sugar",16,5,318,Soy,High sugar intake may increase risk of diabetes,A delicious mocha cream ice cream with rich taste and smooth creamy texture.
338,Blueberry Fusion,Premium,"milk, wafer pieces, butter, brown sugar, chocolate chips, vanilla extract, food coloring, cookie crumbs",25,9,325,Peanuts,Nut allergens may cause allergic reactions,A delicious blueberry fusion ice cream with rich taste and smooth creamy texture.
339,Brownie Fusion,Exotic,"roasted nuts, milk, cookie crumbs, fruit puree, caramel syrup, honey, wafer pieces, brown sugar",19,19,213,Nuts,High calorie dessert – consume moderately,A delicious brownie fusion ice cream with rich taste and smooth creamy texture.
340,Blueberry Cream,Premium,"vanilla extract, cookie crumbs, cocoa powder, natural flavor, condensed milk",31,16,189,Nuts,High fat content may contribute to obesity,A delicious blueberry cream ice cream with rich taste and smooth creamy texture.
341,Hazelnut Dream,Chocolate,"milk, roasted nuts, food coloring, cookie crumbs, corn syrup",23,18,277,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious hazelnut dream ice cream with rich taste and smooth creamy texture.
342,Red Velvet Dream,Fruit,"roasted nuts, honey, caramel syrup, vanilla extract, cookie crumbs",20,16,344,Gluten,Artificial colors may cause mild sensitivity,A delicious red velvet dream ice cream with rich taste and smooth creamy texture.
343,Oreo Blast,Healthy,"milk, sugar, wafer pieces, caramel syrup, vanilla extract, honey",34,9,321,Soy,High calorie dessert – consume moderately,A delicious oreo blast ice cream with rich taste and smooth creamy texture.
344,Tiramisu Blast,Healthy,"sugar, corn syrup, brown sugar, food coloring, natural flavor, salt, roasted nuts, honey",29,8,202,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious tiramisu blast ice cream with rich taste and smooth creamy texture.
345,Blackberry Cream,Nut,"honey, cookie crumbs, sugar, fruit puree, butter, wafer pieces",32,11,282,None,High calorie dessert – consume moderately,A delicious blackberry cream ice cream with rich taste and smooth creamy texture.
346,Oreo Blast,Nut,"corn syrup, cocoa powder, caramel syrup, food coloring, sugar",24,5,233,Milk,Nut allergens may cause allergic reactions,A delicious oreo blast ice cream with rich taste and smooth creamy texture.
347,Brownie Swirl,Classic,"roasted nuts, sugar, milk, cream, butter, honey",31,10,319,Gluten,Nut allergens may cause allergic reactions,A delicious brownie swirl ice cream with rich taste and smooth creamy texture.
348,Fudge Blast,Chocolate,"cookie crumbs, wafer pieces, corn syrup, chocolate chips, honey, roasted nuts, sugar",32,11,340,Milk,High calorie dessert – consume moderately,A delicious fudge blast ice cream with rich taste and smooth creamy texture.
349,Passion Fruit Dream,Candy,"caramel syrup, chocolate chips, milk, brown sugar, food coloring, roasted nuts",35,11,302,None,High calorie dessert – consume moderately,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
350,Marshmallow Fusion,Candy,"milk, cookie crumbs, cocoa powder, butter, corn syrup, cream, brown sugar, sugar",31,12,281,None,High calorie dessert – consume moderately,A delicious marshmallow fusion ice cream with rich taste and smooth creamy texture.
351,Caramel Swirl,Exotic,"cream, vanilla extract, butter, caramel syrup, corn syrup, milk, salt, fruit puree",28,15,247,Peanuts,High sugar intake may increase risk of diabetes,A delicious caramel swirl ice cream with rich taste and smooth creamy texture.
352,Peanut Butter Fusion,Exotic,"wafer pieces, caramel syrup, fruit puree, salt, condensed milk, food coloring, cocoa powder",35,15,342,Peanuts,High fat content may contribute to obesity,A delicious peanut butter fusion ice cream with rich taste and smooth creamy texture.
353,Fudge Dream,Classic,"cream, fruit puree, salt, cookie crumbs, milk, brown sugar, honey",21,11,225,Gluten,Artificial colors may cause mild sensitivity,A delicious fudge dream ice cream with rich taste and smooth creamy texture.
354,Mint Cream,Fruit,"fruit puree, natural flavor, brown sugar, cookie crumbs, cream",28,7,318,None,Nut allergens may cause allergic reactions,A delicious mint cream ice cream with rich taste and smooth creamy texture.
355,Green Apple Dream,Chocolate,"caramel syrup, chocolate chips, vanilla extract, milk, honey, food coloring, salt, roasted nuts",19,7,318,None,Artificial colors may cause mild sensitivity,A delicious green apple dream ice cream with rich taste and smooth creamy texture.
356,Fudge Blast,Chocolate,"cookie crumbs, fruit puree, butter, wafer pieces, food coloring, salt",34,13,284,Gluten,High calorie dessert – consume moderately,A delicious fudge blast ice cream with rich taste and smooth creamy texture.
357,White Chocolate Dream,Chocolate,"roasted nuts, vanilla extract, salt, cocoa powder, sugar, condensed milk, corn syrup",34,8,250,Nuts,High fat content may contribute to obesity,A delicious white chocolate dream ice cream with rich taste and smooth creamy texture.
358,Caramel Swirl,Premium,"butter, brown sugar, food coloring, cocoa powder, fruit puree",31,20,269,Gluten,Artificial colors may cause mild sensitivity,A delicious caramel swirl ice cream with rich taste and smooth creamy texture.
359,Red Velvet Blast,Candy,"milk, honey, wafer pieces, vanilla extract, cream",17,14,251,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious red velvet blast ice cream with rich taste and smooth creamy texture.
360,Honey Fusion,Chocolate,"wafer pieces, salt, cookie crumbs, cream, chocolate chips, condensed milk, brown sugar",24,5,241,Milk,High fat content may contribute to obesity,A delicious honey fusion ice cream with rich taste and smooth creamy texture.
361,Cherry Cream,Candy,"natural flavor, chocolate chips, roasted nuts, butter, honey, salt, sugar",26,15,246,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious cherry cream ice cream with rich taste and smooth creamy texture.
362,Oreo Delight,Premium,"cream, butter, sugar, natural flavor, milk, cookie crumbs, food coloring",17,9,323,Milk,High calorie dessert – consume moderately,A delicious oreo delight ice cream with rich taste and smooth creamy texture.
363,Marshmallow Dream,Classic,"cookie crumbs, corn syrup, butter, food coloring, milk, cream, honey",35,18,209,None,Artificial colors may cause mild sensitivity,A delicious marshmallow dream ice cream with rich taste and smooth creamy texture.
364,Tiramisu Delight,Chocolate,"butter, sugar, cocoa powder, honey, cookie crumbs, food coloring",35,12,192,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious tiramisu delight ice cream with rich taste and smooth creamy texture.
365,Peanut Butter Dream,Candy,"honey, food coloring, salt, condensed milk, roasted nuts",25,13,252,Gluten,High fat content may contribute to obesity,A delicious peanut butter dream ice cream with rich taste and smooth creamy texture.
366,Lychee Fusion,Fruit,"butter, honey, salt, fruit puree, milk, vanilla extract, roasted nuts",25,5,271,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious lychee fusion ice cream with rich taste and smooth creamy texture.
367,Raspberry Dream,Exotic,"caramel syrup, sugar, milk, fruit puree, brown sugar, food coloring, salt, natural flavor",27,10,315,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
368,Fudge Cream,Nut,"fruit puree, corn syrup, brown sugar, food coloring, milk",30,10,196,Nuts,Artificial colors may cause mild sensitivity,A delicious fudge cream ice cream with rich taste and smooth creamy texture.
369,Rose Swirl,Nut,"cookie crumbs, butter, condensed milk, food coloring, corn syrup, natural flavor, cream",23,18,198,Soy,High fat content may contribute to obesity,A delicious rose swirl ice cream with rich taste and smooth creamy texture.
370,Orange Blast,Premium,"condensed milk, cream, caramel syrup, sugar, milk, brown sugar, wafer pieces",32,12,321,Peanuts,High fat content may contribute to obesity,A delicious orange blast ice cream with rich taste and smooth creamy texture.
371,Strawberry Dream,Exotic,"cookie crumbs, corn syrup, food coloring, condensed milk, roasted nuts, natural flavor, chocolate chips, fruit puree",21,18,268,Milk,High sugar intake may increase risk of diabetes,A delicious strawberry dream ice cream with rich taste and smooth creamy texture.
372,Brownie Blast,Classic,"food coloring, condensed milk, natural flavor, wafer pieces, roasted nuts, corn syrup",16,13,184,None,High fat content may contribute to obesity,A delicious brownie blast ice cream with rich taste and smooth creamy texture.
373,Peach Dream,Exotic,"vanilla extract, roasted nuts, chocolate chips, caramel syrup, food coloring",16,19,183,Milk,High calorie dessert – consume moderately,A delicious peach dream ice cream with rich taste and smooth creamy texture.
374,Banana Fusion,Premium,"wafer pieces, cream, cocoa powder, milk, natural flavor, chocolate chips, salt, caramel syrup",30,19,227,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious banana fusion ice cream with rich taste and smooth creamy texture.
375,Salted Caramel Fusion,Exotic,"chocolate chips, condensed milk, honey, natural flavor, vanilla extract, sugar, fruit puree, roasted nuts",35,7,314,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious salted caramel fusion ice cream with rich taste and smooth creamy texture.
376,Saffron Dream,Classic,"natural flavor, cookie crumbs, chocolate chips, wafer pieces, vanilla extract, butter, caramel syrup",23,12,228,Soy,High calorie dessert – consume moderately,A delicious saffron dream ice cream with rich taste and smooth creamy texture.
377,Coffee Fusion,Chocolate,"vanilla extract, chocolate chips, cocoa powder, butter, roasted nuts, salt",32,15,337,Peanuts,High fat content may contribute to obesity,A delicious coffee fusion ice cream with rich taste and smooth creamy texture.
378,Butterscotch Swirl,Fruit,"cookie crumbs, cream, chocolate chips, caramel syrup, butter",26,19,269,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious butterscotch swirl ice cream with rich taste and smooth creamy texture.
379,Blackberry Dream,Chocolate,"roasted nuts, food coloring, fruit puree, cocoa powder, corn syrup",18,6,293,Milk,High sugar intake may increase risk of diabetes,A delicious blackberry dream ice cream with rich taste and smooth creamy texture.
380,Pistachio Fusion,Candy,"fruit puree, caramel syrup, brown sugar, vanilla extract, corn syrup, salt",20,6,272,Soy,High sugar intake may increase risk of diabetes,A delicious pistachio fusion ice cream with rich taste and smooth creamy texture.
381,Chocolate Cream,Healthy,"vanilla extract, cocoa powder, natural flavor, wafer pieces, cookie crumbs, caramel syrup, sugar, honey",35,19,296,Peanuts,Artificial colors may cause mild sensitivity,A delicious chocolate cream ice cream with rich taste and smooth creamy texture.
382,Papaya Delight,Fruit,"milk, corn syrup, honey, sugar, cream, fruit puree",31,15,246,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious papaya delight ice cream with rich taste and smooth creamy texture.
